UKPRN,UnitOfAssessment,MultipleSubmission,Source,Income2008,Income2009,Income2010,Income2011,Income2012
10007850,9,,1,1668713,1671241,1236401,1280178,1700479
10007850,9,,2,9670,77616,105669,92883,67687
10007850,9,,3,0,0,200,0,0
10007850,9,,4,180790,232266,219585,72708,141950
10007850,9,,5,292420,293454,40051,63680,47392
10007850,9,,6,407017,272378,163869,132143,80490
10007850,9,,9,83351,27502,745,1737,59413
10007850,9,,10,0,0,95299,6,0
10007850,9,,11,0,0,14723,6833,1928
10007850,9,,12,99796,214353,198444,110953,12651
10007850,9,,13,0,8687,2773,13789,16473
10007850,9,,15,741463,581844,196722,836680,668044
10006840,9,,1,6953643,7239963,6442499,5664897,5183335
10006840,9,,2,1294,1190,3947,26679,101103
10006840,9,,3,45925,54595,31053,27015,16321
10006840,9,,4,859338,1283620,1192113,464055,55832
10006840,9,,5,39714,12003,0,3592,6471
10006840,9,,6,70575,135213,300132,421053,474367
10006840,9,,9,39915,17877,15290,29584,60034
10006840,9,,13,0,358,2312,0,0
10006840,9,,15,6014401,5932559,6245675,6142653,5278791
10007786,9,,1,4869955,4601935,4060999,3984304,3763723
10007786,9,,2,412450,321020,246652,102247,235200
10007786,9,,3,0,25000,25000,25000,25000
10007786,9,,4,75839,62910,47607,230830,179336
10007786,9,,5,0,1000,45509,157612,122568
10007786,9,,6,80084,782537,683514,1205899,1293573
10007786,9,,8,0,2092,446236,0,12982
10007786,9,,10,0,0,0,50488,84861
10007786,9,,11,30587,37781,10905,31164,69415
10007786,9,,12,42772,60361,61078,47531,137579
10007786,9,,13,5229,8,0,0,0
10007786,9,,15,5930526,5226467,4760500,4281956,5040810
10007788,9,,1,18035963,18690280,16465451,16424171,15737097
10007788,9,,2,172946,77233,121478,138939,417055
10007788,9,,3,22318,119636,275247,72190,123741
10007788,9,,4,888254,327603,262184,237174,290848
10007788,9,,5,1711701,1829004,1650906,1054782,1414931
10007788,9,,6,1855741,1681883,3689931,3637406,3523034
10007788,9,,7,4198,49676,170627,0,0
10007788,9,,8,80067,148121,0,177093,191093
10007788,9,,9,142811,115937,234061,27858,3398
10007788,9,,10,0,0,20048,21543,31870
10007788,9,,11,376480,455447,518219,263258,560476
10007788,9,,12,248741,342374,690104,536688,910508
10007788,9,,13,38206,34490,183514,11840,9588
10007788,9,,15,16461977,17381028,17589324,17129960,17103319
10007141,9,,1,436415,445707,552766,431938,537095
10007141,9,,2,4384,5055,4197,4860,12250
10007141,9,,5,10976,0,897,7977,0
10007141,9,,6,27185,-13060,23484,89803,121656
10007141,9,,8,0,0,2275,16855,20826
10007141,9,,12,2120,0,0,0,0
10007141,9,,15,98000,471250,175500,31500,0
10007143,9,,1,9497914,9078094,7712313,8197900,8806244
10007143,9,,2,112033,307281,315269,142331,143681
10007143,9,,4,391448,821067,427000,402242,430315
10007143,9,,5,153027,103291,130051,38154,34551
10007143,9,,6,801659,1112259,938829,1711108,2244432
10007143,9,,7,1200,0,0,1080,0
10007143,9,,8,36143,28835,18499,0,0
10007143,9,,9,26568,83014,34583,15074,1183
10007143,9,,10,268918,455326,370928,198715,38152
10007143,9,,11,151872,131073,117083,147479,180178
10007143,9,,12,21074,0,16116,74589,28323
10007143,9,,15,8723642,5603031,8127934,7183244,4445529
10007792,9,,1,2634158,2735031,3012956,3290838,2744099
10007792,9,,2,106171,150376,100018,179680,95864
10007792,9,,3,13586,4540,8230,39010,48684
10007792,9,,4,310135,333577,434910,319202,464303
10007792,9,,5,150958,114046,247999,212750,115394
10007792,9,,6,308434,598605,637986,608471,659937
10007792,9,,8,0,0,0,63495,4440
10007792,9,,9,1291,0,0,0,0
10007792,9,,11,0,0,37351,37363,23741
10007792,9,,12,3517,7280,114160,164308,137477
10007792,9,,13,0,32922,0,0,64
10007792,9,,15,1419845,1533518,740228,2417991,295650
10007147,9,,1,1150044,1532251,1653480,1494400,919747
10007147,9,,2,116990,88160,1684,2101,42220
10007147,9,,4,86404,60702,91322,224307,67636
10007147,9,,5,11995,0,0,12253,71987
10007147,9,,6,1241299,244586,645801,720603,617662
10007147,9,,8,0,0,0,10062,57388
10007147,9,,9,205999,22417,47614,879,16308
10007147,9,,12,94997,49532,652,5637,0
10007147,9,,13,794809,63314,318805,81795,151637
10007147,9,,15,2303851,3319304,2219965,1124870,1005490
10007148,9,,1,82515,204464,227043,266733,251380
10007148,9,,4,0,0,0,17629,28942
10007148,9,,5,0,0,0,17648,28941
10007148,9,,6,174981,83508,0,16533,0
10007148,9,,11,0,0,0,0,32180
10007148,9,,15,259380,172571,0,97648,138440
10003270,9,,1,18318750,19491682,18018837,17655584,16636867
10003270,9,,2,232617,501918,786362,1071920,1151368
10003270,9,,3,10300,7566,4003,94627,49579
10003270,9,,4,1393616,1986336,2433957,2210667,2077136
10003270,9,,5,190510,167341,245525,288395,445175
10003270,9,,6,1340497,1337359,1909382,2350231,2370244
10003270,9,,7,0,0,56160,59299,6667
10003270,9,,8,39544,106979,71566,129541,78260
10003270,9,,9,29936,52804,58816,312782,369650
10003270,9,,10,13767,55709,0,19637,155303
10003270,9,,11,1151289,1337673,342548,-506,92758
10003270,9,,12,672612,717167,921398,809920,599918
10003270,9,,13,37325,7159,24982,27507,12599
10003270,9,,15,20821534,22089991,23994721,20853305,20058359
10007767,9,,1,372977,609103,578955,594866,490964
10007767,9,,2,12242,10987,20062,2880,0
10007767,9,,4,6843,3295,9258,-358,0
10007767,9,,5,0,0,9035,11512,10120
10007767,9,,6,72453,60662,6699,0,272713
10007767,9,,13,12109,0,0,4000,1418
10007767,9,,15,1118500,1023890,1694698,2105195,1440347
10007150,9,,1,383081,177112,293819,234451,274751
10007150,9,,2,0,0,6348,5652,0
10007150,9,,4,0,25,18088,1495,0
10007150,9,,5,5279,1486,19678,9504,372
10007150,9,,6,0,242,0,0,0
10007150,9,,15,6375,3121188,1780000,102120,299267
10003645,9,,1,677632,1183308,1054468,1544804,1551904
10003645,9,,2,53188,42971,29741,113095,46078
10003645,9,,4,0,0,0,2383,0
10003645,9,,5,15254,28938,47435,12980,503
10003645,9,,6,92532,97409,59898,297932,588529
10003645,9,,8,0,0,0,1894,15070
10003645,9,,11,49983,102903,120054,75869,65264
10003645,9,,12,0,0,0,0,55293
10003645,9,,13,13581,11456,20801,-2500,0
10003645,9,,15,63010,48272,74229,129692,62811
10007768,9,,1,3718939,3783142,3305269,3253160,3221810
10007768,9,,2,-10455,72667,69113,75595,101657
10007768,9,,3,0,789,4565,645,9734
10007768,9,,4,129213,155700,115887,82469,114170
10007768,9,,5,19987,61974,104978,208109,260220
10007768,9,,6,758118,547634,574484,902650,1019233
10007768,9,,9,36331,6941,17814,3034,20153
10007768,9,,12,918,2240,82208,20308,42678
10007768,9,,13,28884,6473,0,7949,4655
10007768,9,,15,3607021,3614511,3463235,3492554,3405662
10007795,9,,1,3149891,2751282,2587485,2625674,2933157
10007795,9,,2,33067,75918,121956,156115,84182
10007795,9,,4,240342,112253,202680,231103,32869
10007795,9,,5,110995,25445,27899,59254,64101
10007795,9,,6,193050,280792,457605,679534,689362
10007795,9,,9,60655,61539,-19742,0,0
10007795,9,,11,71116,171,0,36738,78384
10007795,9,,13,0,161,179,0,0
10007795,9,,15,2570834,2568661,1561327,1039466,642490
10007796,9,,1,7427135,8306504,7551442,6991584,6158858
10007796,9,,2,37814,5626,57944,101327,79062
10007796,9,,3,22749,50925,28489,6702,0
10007796,9,,4,611195,455127,404946,408320,900735
10007796,9,,5,57434,17536,76923,94448,181084
10007796,9,,6,592788,280129,285165,525284,490953
10007796,9,,7,0,0,4468,0,0
10007796,9,,9,236140,601117,467673,620576,404252
10007796,9,,11,0,0,0,0,112588
10007796,9,,12,21431,-36690,29821,19655,3308
10007796,9,,13,-499,7264,15009,9991,60154
10007796,9,,15,21182641,23264385,20432030,19191319,12332118
10006842,9,,1,6771973,6163862,6711680,4921788,5928825
10006842,9,,2,0,0,6341,14362,49272
10006842,9,,3,9310,15112,19519,13874,5572
10006842,9,,4,191663,21427,0,0,11185
10006842,9,,5,4456,31961,66709,77089,71040
10006842,9,,6,187455,194844,211304,733521,1037261
10006842,9,,9,46494,46362,18894,0,2962
10006842,9,,12,9110,8250,0,0,0
10006842,9,,15,11731892,12562819,13416352,13285637,13360679
10003957,9,,1,1163060,1127140,862217,1127815,1149174
10003957,9,,2,0,0,600,0,0
10003957,9,,3,0,0,-786,0,41986
10003957,9,,5,0,0,407,14702,1492
10003957,9,,6,35743,6423,55891,-8963,41887
10003957,9,,8,0,0,0,20882,0
10003957,9,,13,0,0,0,0,16896
10003957,9,,15,647000,619630,1412625,547000,408590
10007784,9,,1,14617000,15183000,15838000,14185000,15875000
10007784,9,,2,255000,391000,313000,408000,360000
10007784,9,,4,235000,128000,258000,196000,1074000
10007784,9,,5,258000,254000,245000,353000,324000
10007784,9,,6,2187000,1366000,2134000,2285000,3213000
10007784,9,,7,1000,0,0,0,0
10007784,9,,8,0,0,0,43000,12000
10007784,9,,9,362000,393000,118000,166000,141000
10007784,9,,10,0,0,10000,29000,43000
10007784,9,,11,6000,11000,57000,94000,234000
10007784,9,,12,169000,19000,86000,146000,193000
10007784,9,,13,309000,419000,-98000,320000,-24000
10007784,9,,15,20727000,25792000,28761000,29485000,28759000
10004113,9,,1,433342,468116,367838,258388,386000
10004113,9,,2,959,0,606,46732,43913
10004113,9,,3,-11951,12868,4986,10380,59611
10004113,9,,4,0,0,0,0,-4906
10004113,9,,5,-2718,1744,-17,19039,0
10004113,9,,6,123,-77,0,3169,67057
10004113,9,,9,32125,21258,6974,40226,0
10004113,9,,13,-3921,1622,-3078,10663,0
10004113,9,,15,1008700,671650,893582,198897,154050
10007798,9,,1,10767654,11592148,11459057,11965344,11562752
10007798,9,,2,65161,34492,53055,67925,96648
10007798,9,,3,18923,29463,27139,1698,0
10007798,9,,4,51633,116925,103932,109684,126350
10007798,9,,5,48352,57304,156745,242939,154246
10007798,9,,6,1380854,1555724,2084528,2360736,1773918
10007798,9,,8,58876,16655,1946,1007,3208
10007798,9,,9,0,49128,106745,117772,112691
10007798,9,,11,85340,0,22352,25794,30017
10007798,9,,12,690550,557814,741659,218121,192060
10007798,9,,13,0,208,11687,1646,5818
10007798,9,,15,9311171,10511802,11294226,11201600,10247466
10007154,9,,1,3724000,4090000,4341000,4601000,4915000
10007154,9,,2,387000,120000,165000,245000,253000
10007154,9,,3,188000,190000,190000,190000,194000
10007154,9,,4,272000,247000,173000,203000,207000
10007154,9,,5,169000,49000,118000,105000,118000
10007154,9,,6,723000,625000,664000,865000,1147000
10007154,9,,8,30000,13000,24000,190000,5000
10007154,9,,11,138000,77000,18000,0,0
10007154,9,,12,0,13000,64000,99000,190000
10007154,9,,13,0,0,0,0,1000
10007154,9,,15,449485,1037870,1695767,1336325,1521880
10007774,9,,1,17359601,18092730,17916035,16777558,15979225
10007774,9,,2,276099,407294,335328,275046,305804
10007774,9,,3,1981,12065,9736,0,11982
10007774,9,,4,122347,89330,147625,180433,106849
10007774,9,,5,425474,87969,369377,367544,318092
10007774,9,,6,1710506,2037573,1974177,2639345,2980407
10007774,9,,8,0,0,0,7000,55896
10007774,9,,9,114129,-41061,72839,0,0
10007774,9,,10,26607,94978,42592,111410,219304
10007774,9,,11,173601,108957,266417,164085,123894
10007774,9,,12,216268,291765,314328,498445,940165
10007774,9,,13,0,416,1703,-29162,0
10007774,9,,15,17435532,20564588,18625438,18903744,21609931
10007155,9,,1,618569,781257,889254,937544,821164
10007155,9,,2,0,30380,63544,38375,43926
10007155,9,,6,509346,493884,392542,359582,443432
10007155,9,,11,15201,11479,0,0,0
10007155,9,,12,69028,14970,14066,6353,0
10007155,9,,13,0,57890,147951,139651,207607
10007155,9,,15,290000,64699,173895,332853,371078
10007775,9,,1,2864286,3252706,3222053,3143387,1919650
10007775,9,,2,44715,71447,-19398,56368,36015
10007775,9,,4,18349,0,0,0,0
10007775,9,,6,171026,239550,56701,296292,482722
10007775,9,,13,26509,10136,10000,5000,0
10007775,9,,15,58907,221511,1003664,47191,474
10005553,9,,1,2138392,2059022,2074505,2337906,2338564
10005553,9,,2,29165,45638,65423,7337,0
10005553,9,,4,444,3931,3896,2042,2428
10005553,9,,5,2596,7314,37208,51091,74389
10005553,9,,6,218527,288758,433409,413331,942649
10005553,9,,10,0,0,0,0,34667
10005553,9,,11,0,0,0,24531,-24531
10005553,9,,15,3433862,3583598,3530820,4049291,4346272
10007157,9,,1,4048067,4412636,4551028,5810555,5376316
10007157,9,,2,24009,46041,31232,38984,48851
10007157,9,,4,412263,302176,127660,43732,86373
10007157,9,,5,40419,41393,60982,65026,173159
10007157,9,,6,456903,243853,401791,373021,573713
10007157,9,,9,0,0,1914,0,0
10007157,9,,11,740,51277,67125,34089,26307
10007157,9,,12,4181,19138,9412,32558,114258
10007157,9,,13,0,37334,87211,6575,5600
10007157,9,,15,6409543,7548299,7165129,5952291,5733686
10007158,9,,1,3959663,3002470,2592613,2308615,2505306
10007158,9,,2,50717,52917,32545,17933,59479
10007158,9,,3,0,0,1080,0,2800
10007158,9,,4,143523,148001,162477,114356,148137
10007158,9,,5,141307,85048,609,0,0
10007158,9,,6,394632,412756,614124,958882,1248765
10007158,9,,8,928,0,0,0,0
10007158,9,,9,140196,0,0,0,0
10007158,9,,10,0,0,0,0,52365
10007158,9,,12,0,0,15768,59189,19445
10007158,9,,13,60130,2882,2947,2053,0
10007158,9,,15,7835188,6867910,4351064,4000547,8702384
10007160,9,,1,1952000,1781000,1958000,2158000,2327000
10007160,9,,2,14000,0,4000,0,36000
10007160,9,,4,194000,66000,142000,134000,57000
10007160,9,,5,118000,80000,182000,134000,163000
10007160,9,,6,249000,225000,398000,332000,322000
10007160,9,,8,118000,90000,120000,44000,45000
10007160,9,,9,0,51000,0,0,0
10007160,9,,11,72000,59000,54000,30000,0
10007160,9,,12,101000,73000,4000,-2000,2000
10007160,9,,15,3578093,4001482,4290514,4372840,4763204
10007806,9,,1,1707775,1916419,1856346,2363051,2620768
10007806,9,,2,4916,0,5010,5949,12143
10007806,9,,6,418167,551284,273353,184145,356983
10007806,9,,11,0,0,23302,168384,143672
10007806,9,,12,17642,22001,25750,8972,26354
10007806,9,,13,0,0,0,291,254
10007806,9,,15,4502213,5294650,3846725,3242190,3688859
10007163,9,,1,6636167,8048998,6642166,5772773,6860368
10007163,9,,2,65464,32758,36462,35987,7759
10007163,9,,4,1095783,785045,2598996,2591191,2396351
10007163,9,,5,106818,59048,106259,260658,219235
10007163,9,,6,415122,441160,637078,624247,858556
10007163,9,,8,0,0,0,0,33523
10007163,9,,9,0,0,0,0,20380
10007163,9,,11,0,0,27347,158931,16311
10007163,9,,12,0,5954,21029,11530,16101
10007163,9,,13,0,0,0,39399,50549
10007163,9,,15,6390886,6022116,8809882,9454844,7703377
10007167,9,,1,2025542,1766619,1830454,1605799,2058154
10007167,9,,2,578,2047,-213,0,26153
10007167,9,,3,0,0,0,-14652,0
10007167,9,,4,89944,145224,60868,63134,54844
10007167,9,,5,2426,0,0,36014,41884
10007167,9,,6,193072,265407,339720,231738,348603
10007167,9,,11,47607,53447,56797,67244,17608
10007167,9,,13,0,0,0,0,40107
10007167,9,,15,4549762,5017330,5429030,4480168,4525853
10007790,9,,1,8066930,8548577,8909685,8022500,9301143
10007790,9,,2,279660,305193,321472,230048,275951
10007790,9,,3,0,0,0,6985,0
10007790,9,,4,246152,111807,29612,-37277,85682
10007790,9,,5,131463,183168,253743,296474,274643
10007790,9,,6,2206576,2599788,2569254,3178882,4075177
10007790,9,,12,0,0,0,0,29694
10007790,9,,13,34166,1078,0,0,22681
10007790,9,,15,10185877,8421195,10065220,9100108,9779079
10007794,9,,1,9237920,10143208,8883481,7083124,8501641
10007794,9,,2,208277,53413,76642,60690,27055
10007794,9,,4,85850,57758,427198,408219,418929
10007794,9,,5,23266,116423,-78,108020,59483
10007794,9,,6,408795,470807,585277,816214,672642
10007794,9,,8,9239,-3889,5518,0,0
10007794,9,,9,81419,-4727,22384,29169,22904
10007794,9,,12,32767,14496,44645,166817,91927
10007794,9,,13,-2019,84992,61802,66263,65473
10007794,9,,15,9369224,9831843,9975479,10697570,9219830
10007764,9,,1,2032468,1960688,2042283,2393632,2265653
10007764,9,,2,386,19957,83814,108060,96867
10007764,9,,4,290365,276100,497227,142344,176397
10007764,9,,5,323142,194780,74746,81670,124929
10007764,9,,6,64489,33870,90764,101126,812357
10007764,9,,9,8158,10510,0,0,0
10007764,9,,11,1162,11243,0,0,0
10007764,9,,12,0,11401,83282,153216,153937
10007764,9,,13,0,9193,535,3156,0
10007764,9,,15,1851,4536,10232,19313,3910
10007803,9,,1,4688792,4737535,5062850,4158131,4415836
10007803,9,,2,66756,80996,43529,197771,231613
10007803,9,,3,2841,0,3681,0,12196
10007803,9,,4,810311,587458,341799,131130,104257
10007803,9,,5,462781,325217,95126,47649,34101
10007803,9,,6,621457,921239,744497,1051799,1058914
10007803,9,,8,6986,19329,0,0,0
10007803,9,,9,0,0,0,2707,1138
10007803,9,,11,59363,7750,545,447,3730
10007803,9,,12,17420,44676,433290,696093,330803
10007803,9,,13,27821,6950,0,6250,23722
10007803,9,,15,1229232,1867206,1048216,1129423,154177
10007805,9,,1,3698583,3943271,2736014,2504232,3604461
10007805,9,,2,60701,44740,20368,73713,87346
10007805,9,,3,580,0,0,0,12400
10007805,9,,4,6987,36712,185298,139021,447820
10007805,9,,5,417651,248135,833082,267560,191245
10007805,9,,6,334442,554829,496314,1298052,686758
10007805,9,,8,0,0,0,9966,31825
10007805,9,,9,0,0,0,29952,21273
10007805,9,,11,0,0,0,5750,53907
10007805,9,,12,0,0,69552,51562,166932
10007805,9,,13,905,7335,-664,12784,14089
10007805,9,,15,1009458,1211814,560000,719628,1769043
10007856,9,,1,899841,692560,486549,474300,316637
10007856,9,,2,0,6480,0,0,921
10007856,9,,3,12324,1100,0,0,18417
10007856,9,,5,8185,14707,0,0,0
10007856,9,,6,186018,146699,209563,111092,49924
10007856,9,,8,1304,0,0,0,0
10007856,9,,9,0,9789,0,0,0
10007856,9,,11,8813,0,0,5992,39551
10007856,9,,12,6500,1149,0,0,0
10007856,9,,13,0,0,0,8767,34632
10007856,9,,15,438798,838389,678939,202748,319491
10007814,9,,1,3660506,3231330,3168784,2786781,2900512
10007814,9,,2,1250,0,19793,52817,9465
10007814,9,,4,189536,144797,23912,0,0
10007814,9,,5,0,9381,9266,27080,33495
10007814,9,,6,286768,346547,240962,35407,145883
10007814,9,,8,0,0,29484,145021,111380
10007814,9,,11,0,0,0,0,76855
10007814,9,,12,0,0,5023,8428,-989
10007814,9,,15,4652367,3493227,3556930,1496071,1610301
10007855,9,,1,1453098,1368671,1916408,1594602,1864810
10007855,9,,2,77100,68064,3954,0,15710
10007855,9,,4,0,0,0,0,2590
10007855,9,,6,127409,-6581,15557,300512,29061
10007855,9,,9,0,0,0,16274,1714
10007855,9,,15,0,0,0,108000,108000
10005343,9,,1,4549261,3956549,3938430,2972259,2674796
10005343,9,,2,94200,103390,108194,131472,117158
10005343,9,,4,748768,813588,912140,890688,858647
10005343,9,,5,2289,182785,463768,1303205,790211
10005343,9,,6,578605,343471,184221,260927,717400
10005343,9,,8,5853,11249,15453,41939,96754
10005343,9,,10,121427,0,0,0,0
10005343,9,,11,0,0,4925,19501,17826
10005343,9,,12,0,115675,0,115233,128086
10005343,9,,13,21787,46094,175602,43397,33194
10005343,9,,15,6052479,4819185,4282560,4371238,4545624
